id,name,title,organization,groups,num_resources,formats,metadata_modified,license_id,url_portal,first_resource_url,first_resource_format,tema_principal,todos_los_temas,keywords_encontradas,notes_preview
d53db684-17fe-44b0-af94-ff13bdaa3760,t248671-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Cadis, 16",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248671-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248671-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Cadis, 16 (T248671). La seua ubicació exacta és: 39.4631424, -0.3746647000000394.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma de ciutat VLCi"
17dbcad8-42dc-4290-828f-f206075f92b9,t248655-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Cadis, 3",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248655-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248655-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Cadis, 3 (T248655). La seua ubicació exacta és: 39.4640447, -0.3750515000000405.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma de ciutat VLCi."
a3b1a786-c154-4e4d-a341-3e3e7aeb7248,t248682-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Cuba, 3",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248682-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248682-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Cuba, 3 (T248682). La seua ubicació exacta és: 39.4628861, -0.3775977000000239.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma de ciutat VLCi. "
3574a921-7320-4560-a471-5ce11abbac8f,t248683-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Sueca, 2",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248683-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248683-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Sueca, 2 (T248683). La seua ubicació exacta és: 39.4633107, -0.3766378000000259.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma de ciutat VLCi."
f5ce9865-05c6-4d05-9deb-287bdbec92a3,t248684-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Sueca, 61",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248684-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248684-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Sueca, 61 (T248684). La seua ubicació exacta és: 39.4605601, -0.37411520000000564.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma de ciutat VLC"
d9bbf318-cc7f-4841-b761-37bba9fda91b,t248680-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Sueca, 32",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248680-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248680-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Sueca, 32 (T248680). La seua ubicació exacta és: 39.4613594, -0.37514680000003864.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma de ciutat VLC"
0d84a4ac-7131-4c9a-8ed9-6be68c39b49e,t248670-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Carles Cervera, chaflà amb Reina Doña María",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248670-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248670-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Carles Cervera, chaflà amb Reina Doña María (T248670). La seua ubicació exacta és: 39.4613005, -0.37288599999999406.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcion"
eb3bce72-b02d-4d44-9c14-86fb0b6328d4,t248676-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Salvador Abril, chaflà amb Maestro José Serrano",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248676-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248676-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Salvador Abril, chaflà amb Maestro José Serrano (T248676). La seua ubicació exacta és: 39.4635655, -0.37060220000000754.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada propor"
f4c53548-78d1-40b0-bccf-021ecd969742,t248677-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Vivons, chaflà amb Cadis",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248677-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248677-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Vivons, chaflà amb Cadis (T248677). La seua ubicació exacta és: 39.4599927, -0.3721407000000454.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma"
f4a398ee-5e4b-441c-ad88-7a5c1e5e9e41,t248678-daily,"Dades diàries del sensor de soroll ubicat al barri de Russafa, en el carrer Carles Cervera, 34",Ajuntament de València,medio-ambiente,1,CSV,2025-05-20,cc-by,https://opendata.vlci.valencia.es/dataset/t248678-daily,https://datosbi.vlci.valencia.es/pentaho/plugin/cda/api/doQuery?path=/public/vlci/datosabiertos/calidadambiental_sonometros_ruzafa_diarios.cda&dataAccessId=sqlSonometrosRuzafaDaily&paramid=T248678-daily&outputType=CSV&_TRUST_USER_=publicoda,CSV,contexto,contexto,"contexto=barri,carrer","Dades diàries del sensor de soroll ubicat al barri de Russafa i en concret en el carrer Carles Cervera, 34 (T248678). La seua ubicació exacta és: 39.4615883, -0.3727962000000389.    A continuació s'explica cadascuna de les columnes del recurs.    * RecvTime: Dada proporcionat per la plataforma de ci"
