localId,anio_construccion,anio_ultima_reforma,uso
000400400YJ26H,1920,1995,1_residential
000400400YJ27E,1880,1880,3_industrial
000400400YJ35C,1958,1958,1_residential
000400500YJ26F,2002,2002,1_residential
000400500YJ26G,1900,1900,1_residential
000400500YJ26H,1920,1920,1_residential
000400500YJ27E,1975,1975,3_industrial
000400600YJ26H,1932,1932,1_residential
000400700YJ26F,1930,1930,1_residential
000400700YJ26H,1932,1932,1_residential
000400800YJ26F,1950,1980,1_residential
000400800YJ26H,1934,2004,1_residential
000400900YJ26F,1930,1930,1_residential
000400900YJ26H,1922,1922,1_residential
000401000YJ26F,1930,1930,1_residential
000401000YJ26H,1920,1920,1_residential
000401100YJ26F,1930,1930,1_residential
000401100YJ26H,1920,1920,1_residential
000401200YJ26F,1930,1990,3_industrial
000401300YJ26F,1952,2009,1_residential
000401300YJ26H,1959,1959,1_residential
000401400YJ26F,1930,1930,1_residential
000401400YJ26H,1889,1889,1_residential
000401500YJ26F,1930,1980,1_residential
000401500YJ26H,1889,1889,1_residential
000401600YJ26F,1945,1969,1_residential
000401600YJ26H,1928,1928,1_residential
000401700YJ26F,1930,1930,1_residential
000401700YJ26H,1928,1928,1_residential
000401800YJ26F,1941,1941,1_residential
000401800YJ26H,1924,1924,1_residential
000401900YJ26F,1928,1928,1_residential
000401900YJ26H,1958,1958,1_residential
000402000YJ26F,1928,1928,1_residential
000402000YJ26H,1942,1942,1_residential
000402100YJ26F,1930,1930,1_residential
000402100YJ26H,1942,1942,1_residential
000402200YJ26F,1930,1930,1_residential
000402200YJ26H,1942,1942,1_residential
000402300YJ26F,1930,1930,1_residential
000402300YJ26H,1942,1942,1_residential
000402400YJ26F,1950,1950,1_residential
000402400YJ26H,1955,1955,1_residential
000402500YJ26F,1940,1940,1_residential
000402500YJ26H,1942,1942,1_residential
000402600YJ26F,1950,1950,1_residential
000402600YJ26H,1942,1942,1_residential
000402700YJ26F,1950,1950,1_residential
000402700YJ26H,1942,1942,1_residential
000402800YJ26F,1930,1930,1_residential
000402800YJ26H,1942,1942,1_residential
000402900YJ26F,1930,1930,1_residential
000402900YJ26H,1942,1942,1_residential
000403000YJ26F,1930,1930,1_residential
000403000YJ26H,1942,1942,1_residential
000403100YJ26F,1930,1985,1_residential
000403100YJ26H,1950,1950,1_residential
000403200YJ26H,1924,1924,1_residential
000403300YJ26F,1985,1985,1_residential
000403300YJ26H,1943,1943,1_residential
000403400YJ26F,1950,1950,1_residential
000403500YJ26F,1950,1950,1_residential
000403600YJ26F,1950,1950,1_residential
000403700YJ26F,1950,1950,1_residential
000403700YJ26H,1921,1921,1_residential
000403800YJ26F,1930,1930,1_residential
000403800YJ26H,1963,1963,1_residential
